epsilon,pi,g,diameter,critical_epsilon,saturated
0.1,0.1,1.0,1.0,0.09090909090909091,True
0.1,0.25,0.1,1.0,0.02439024390243903,True
0.1,0.25,0.25,1.0,0.058823529411764705,True
0.1,0.25,0.5,0.888888888888889,0.1111111111111111,False
0.1,0.25,0.75,0.5925925925925926,0.15789473684210525,False
0.1,0.25,1.0,0.4444444444444445,0.2,False
0.1,0.5,0.1,1.0,0.047619047619047616,True
0.1,0.5,0.25,0.888888888888889,0.1111111111111111,False
0.1,0.5,0.5,0.4444444444444445,0.2,False
0.1,0.5,0.75,0.2962962962962963,0.2727272727272727,False
0.1,0.5,1.0,0.22222222222222224,0.3333333333333333,False
